"REF_DATE","GEO","DGUID","Work activity during the reference year (9)","Age (15A)","Gender (3)","Statistics (3)","Occupation - Minor group - National Occupational Classification (NOC) 2021 (309A)","Employment income statistics (7)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","131 Administrative occupations","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.28.1","760410","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","131 Administrative occupations","With employment income","","0","units","0","","1.1.1.1.1.28.2","717625","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","131 Administrative occupations","Median employment income ($)","","0","units","0","","1.1.1.1.1.28.3","42400","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1310 Administrative, property and payroll officers","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.29.1","387560","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1310 Administrative, property and payroll officers","With employment income","","0","units","0","","1.1.1.1.1.29.2","363205","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1310 Administrative, property and payroll officers","Median employment income ($)","","0","units","0","","1.1.1.1.1.29.3","46800","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1311 Office administrative assistants - general, legal and medical","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.30.1","372855","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1311 Office administrative assistants - general, legal and medical","With employment income","","0","units","0","","1.1.1.1.1.30.2","354420","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1311 Office administrative assistants - general, legal and medical","Median employment income ($)","","0","units","0","","1.1.1.1.1.30.3","38400","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","132 Transportation and production logistics coordinators and customs brokers and related broker occupations","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.31.1","57170","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","132 Transportation and production logistics coordinators and customs brokers and related broker occupations","With employment income","","0","units","0","","1.1.1.1.1.31.2","55305","","","","0"
